"DATE","MSFT","KO","DD","XOM","GE","IBM","CVX","UTX","PG","CAT","BA","PFE","JNJ","MMM","MRK","AA","DIS","HPQ","MCD","JPM","WMT","AXP","INTC","BAC","TRV","VZ","T","HD","CSCO","UNH","mktrf","smb","hml","rf","umd","SP500"
Jun 2002,0.074445,0.011519,-0.034783,0.024793,-0.061336,-0.105034,0.014327,-0.014085,0.00543,-0.063516,0.0551,0.011561,-0.148166,-0.019373,-0.107005,-0.052316,-0.175033,-0.19539,-0.049766,-0.056467,0.018207,-0.145613,-0.338523,-0.063976,-0.079794,-0.066279,-0.110528,-0.117774,-0.11597,0.00826,-0.0721,0.0349,0.0156,0.0013,0.0617,-0.072465
Jul 2002,-0.122852,-0.108214,-0.056081,-0.101662,0.108434,-0.022222,-0.152542,0.023564,0.00112,-0.079673,-0.077333,-0.075714,0.01416,0.023008,-0.020537,-0.179487,-0.061905,-0.073953,-0.130053,-0.254127,-0.105981,-0.026982,0.028462,-0.054861,-0.198099,-0.168493,-0.084262,-0.15927,-0.05448,-0.04249,-0.0818,-0.0514,-0.0363,0.0015,0.0341,-0.078995
Aug 2002,0.022926,0.021225,-0.029826,-0.02938,-0.063665,0.072869,0.031067,-0.141942,-0.003821,-0.023714,-0.103083,0.026584,0.028585,-0.002066,0.018548,-0.072458,-0.115623,-0.050883,-0.04,0.057692,0.087434,0.022689,-0.111762,0.053835,-0.025312,-0.060606,-0.105568,0.066386,0.047763,0.007871,0.005,-0.0226,0.0224,0.0014,0.0173,0.004881
Sep 2002,-0.108802,-0.055686,-0.105185,-0.100141,-0.176451,-0.226453,-0.096307,-0.04883,0.008235,-0.147113,-0.079309,-0.122733,-0.004235,-0.119888,-0.088084,-0.230769,-0.034439,-0.125093,-0.256734,-0.280682,-0.07788,-0.13533,-0.166767,-0.08105,-0.046351,-0.114839,-0.187551,-0.205891,-0.241679,-0.01279,-0.1035,0.027,0.0123,0.0014,0.0911,-0.110013
Oct 2002,0.222451,-0.030859,0.14361,0.055172,0.024341,0.353799,-0.023394,0.091698,-0.005818,0.106932,-0.128333,0.094762,0.086354,0.154315,0.186611,0.143005,0.103038,0.353899,0.025481,0.110585,0.08753,0.169019,0.2455,0.094044,0.142061,0.390124,0.29005,0.106513,0.066794,0.042765,0.0783,-0.0298,-0.0649,0.0014,-0.0547,0.086436
Nov 2002,0.078736,-0.013769,0.090182,0.040701,0.074059,0.10299,0.001479,0.016945,-0.044319,0.221542,0.150252,-0.003462,-0.025957,0.027808,0.095317,0.165005,0.186826,0.232911,0.034511,0.213012,0.006536,0.070388,0.208092,0.004011,0.135366,0.10911,0.110678,-0.085873,0.334526,-0.104453,0.0596,0.0317,-0.0157,0.0012,-0.1629,0.05707
Dec 2002,-0.103675,-0.039439,-0.049753,0.004023,-0.095133,-0.108375,-0.008205,-0.008484,0.016681,-0.083768,-0.031131,-0.030447,-0.05805,-0.050443,-0.041071,-0.108415,-0.166498,-0.104723,-0.130811,-0.046484,-0.061503,-0.089905,-0.25431,0.001855,-0.077873,-0.074737,-0.048772,-0.087879,-0.121984,0.025169,-0.0576,-0.0045,0.039,0.0011,0.0965,-0.060333
Jan 2003,-0.082012,-0.077099,-0.10684,-0.02261,-0.049692,0.009032,-0.031288,0.026477,0.000465,-0.030402,-0.042437,-0.001963,-0.001862,0.010138,-0.021551,-0.132133,0.072961,0.00288,-0.114428,-0.013333,-0.053653,0.005092,0.008349,0.0069,-0.04141,-0.002194,-0.088528,-0.129892,0.020611,0.052695,-0.0257,0.014,-0.0088,0.001,0.0155,-0.027415
Feb 2003,0.002107,-0.005932,-0.022445,0.002928,0.047537,-0.001279,0.007298,-0.074788,-0.043356,0.068668,-0.122191,-0.017787,-0.017814,0.011883,-0.047662,0.044512,-0.025143,-0.089604,-0.044242,-0.028278,0.005439,-0.054883,0.100637,-0.011563,-0.054534,-0.096656,-0.148936,0.12201,0.045625,-0.056883,-0.0189,-0.0026,-0.0146,9e-04,0.0122,-0.017004
Mar 2003,0.021519,0.011934,0.059722,0.027337,0.060291,0.006158,0.00748,-0.013657,0.087833,0.046809,-0.090711,0.044936,0.103336,0.03717,0.045308,-0.054634,-0.002345,-0.01388,0.062454,0.045414,0.084478,-0.010423,-0.056779,-0.025419,0.039857,0.022267,-0.035577,0.041365,-0.071531,0.106152,0.0109,0.0077,-0.0167,0.001,0.0155,0.008358
Apr 2003,0.055762,-0.001976,0.094442,0.007153,0.154902,0.082494,-0.028461,0.069747,0.013588,0.076219,0.088587,-0.013158,-0.026093,-0.030685,0.062066,0.190919,0.096357,0.048231,0.182573,0.252214,0.082452,0.141739,0.128378,0.10787,0.079874,0.068317,0.181082,0.154762,0.155624,0.005018,0.0822,0.0115,-6e-04,0.001,-0.0945,0.081044
May 2003,-0.037167,0.12797,-0.00094,0.041193,-0.025467,0.038869,0.140583,0.108558,0.021925,-0.008555,0.130499,0.013659,-0.031405,0.008648,-0.044689,0.073266,0.053055,0.196319,0.095322,0.119591,-0.065874,0.10037,0.134458,0.002026,0.06523,0.012573,0.089897,0.154995,0.094,0.041355,0.0605,0.0478,0.0015,9e-04,-0.1073,0.050899
Jun 2003,0.041853,0.023261,-0.011865,-0.013462,0.005923,-0.062926,0.017761,0.037802,-0.028752,0.067306,0.119009,0.100903,-0.048758,0.019847,0.095898,0.036164,0.005089,0.09641,0.17779,0.04017,0.021859,0.003601,-0.00048,0.07372,0.006014,0.042272,0.003535,0.021237,0.023157,0.04753,0.0142,0.0151,0.0068,0.001,-0.01,0.011322
Jul 2003,0.030031,-0.031028,0.055235,-0.00919,-0.008368,-0.015152,-0.001246,0.062121,-0.009587,0.218469,-0.034965,-0.023133,0.001741,0.08699,-0.087036,0.08902,0.109873,-0.006103,0.043064,0.035401,0.041737,0.058838,0.19606,0.044793,-0.036702,-0.103042,-0.070744,-0.057971,0.16081,0.036617,0.0234,0.0557,-0.0211,7e-04,-0.0033,0.016224
Aug 2003,0.004165,-0.032244,0.026172,0.06661,0.039733,0.011323,0.020663,0.070318,-0.006601,0.064621,0.134058,-0.098621,-0.038038,0.020899,-0.036605,0.033849,-0.064781,-0.058573,-0.025641,-0.02368,0.058308,0.019923,0.149458,-0.040208,-0.011658,0.009143,-0.038527,0.030769,-0.017958,-0.051065,0.0234,0.0267,0.0171,7e-04,-0.0051,0.017873
Sep 2003,0.048265,-0.007813,-0.105722,-0.029178,0.014542,0.077064,-0.019487,-0.037009,0.063352,-0.041626,-0.08184,0.015374,-0.00121,-0.030392,0.013315,-0.084034,-0.016098,-0.024586,0.049955,0.003215,-0.05611,0.000222,-0.037426,-0.005173,0.073648,-0.08154,-0.00935,-0.007463,0.023511,0.018005,-0.0123,0.0055,0.01,8e-04,-6e-04,-0.011944
Oct 2003,-0.053957,0.080075,0.009748,-0.000546,-0.026837,0.013019,0.039888,0.095885,0.063833,0.069872,0.121177,0.040158,0.016357,0.141885,-0.12584,0.206804,0.122459,0.152376,0.062022,0.055636,0.057117,0.043719,0.197311,-0.0296,0.029706,0.047626,0.094944,0.163893,0.068402,0.011129,0.0608,0.0289,0.018,7e-04,0.0367,0.054962
Nov 2003,-0.01645,0.006897,0.034901,-0.003554,-0.01172,0.013634,0.020592,0.016059,-0.020857,0.0378,0.001819,0.067089,-0.015696,0.00634,-0.082486,0.044029,0.019876,-0.025549,0.0412,-0.013928,-0.056149,-0.025996,0.018513,-0.003961,-0.027013,-0.022619,-0.029191,-0.008363,0.084568,0.059355,0.0135,0.0221,0.0146,7e-04,0.016,0.007129
Dec 2003,0.064566,0.091398,0.10685,0.132597,0.087548,0.023636,0.150333,0.105834,0.037822,0.09165,0.097682,0.052428,0.04787,0.075784,0.147044,0.158183,0.019489,0.060258,-0.031213,0.037571,-0.044932,0.057318,-0.044425,0.076892,0.07655,0.06821,0.119845,-0.032644,0.067401,0.079406,0.043,-0.0278,0.0268,8e-04,-0.057,0.050765
Jan 2004,0.01023,-0.029754,-0.043365,-0.005122,0.085539,0.070673,-0.000463,0.008125,0.01657,-0.054445,-0.009255,0.036796,0.034069,-0.069858,0.030303,-0.100526,0.028718,0.035699,0.036649,0.068064,0.01508,0.07485,-0.047738,0.012806,0.062547,0.061716,-0.009877,-0.000564,0.061081,0.046408,0.0215,0.0263,0.0164,7e-04,0.0259,0.017276
Feb 2004,-0.040506,0.014622,0.03508,0.039961,-0.027059,-0.025899,0.031616,-0.032238,0.014147,-0.030462,0.042874,0.005187,0.013665,-0.008977,0.010084,0.100644,0.105417,-0.045397,0.099456,0.05477,0.106035,0.030478,-0.04194,0.005647,0.014479,0.039881,-0.058431,0.023682,-0.099183,0.018397,0.014,-0.0115,0.0042,6e-04,-0.0112,0.012209
Mar 2004,-0.060309,0.011809,-0.06365,-0.013754,-0.061501,-0.04829,-0.006452,-0.063077,0.02312,0.043828,-0.053032,-0.043656,-0.059173,0.049346,-0.073211,-0.074193,-0.058048,0.009247,0.009541,0.022672,0.004365,-0.027518,-0.068493,-0.001709,-0.057089,-0.0467,0.022074,0.030845,0.017703,0.039839,-0.0133,0.0185,4e-04,9e-04,0.0019,-0.016359
Apr 2004,0.048135,0.005368,0.01729,0.023082,-0.018676,-0.039961,0.042379,-0.000464,0.013063,-0.012268,0.039445,0.020257,0.06526,0.056309,0.063589,-0.113577,-0.078431,-0.137478,-0.046902,-0.09559,-0.045066,-0.055931,-0.054044,-0.006051,0.021745,0.043377,0.027404,-0.058084,-0.112855,-0.045934,-0.0183,-0.0254,-0.0169,8e-04,-0.0537,-0.016791
May 2004,0.003827,0.015424,0.01397,0.022797,0.039065,0.006805,-0.004044,-0.015071,0.019574,-0.030619,0.077536,-0.006991,0.036369,-0.018039,0.006383,0.022764,0.019105,0.078173,-0.030481,-0.020213,-0.02,0.035751,0.111154,0.032799,-0.024342,-0.083731,-0.048193,0.020745,0.069823,0.061321,0.0118,-0.0016,-0.0029,6e-04,0.0165,0.012083
Jun 2004,0.08883,-0.012074,0.028241,0.026821,0.047558,-0.004967,0.04104,0.081196,0.009831,0.05428,0.115502,-0.029994,-0.000179,0.064451,0.012051,0.055272,0.086067,-0.002825,-0.015152,0.052389,-0.053293,0.015385,-0.033275,0.027547,0.027218,0.046559,0.023207,-0.017678,0.059455,-0.045977,0.0186,0.0232,0.0166,8e-04,0.0208,0.017989
Jul 2004,-0.002451,-0.131141,-0.034894,0.042558,0.026235,-0.012252,0.016364,0.022081,-0.037472,-0.069738,-0.006655,-0.067678,-0.00772,-0.084991,-0.045263,-0.030276,-0.094155,-0.045024,0.057692,-0.028372,0.004738,-0.021993,-0.116667,0.004609,-0.085595,0.075573,0.057835,-0.042045,-0.1173,0.010442,-0.0407,-0.0382,0.0448,0.001,-0.0237,-0.034291
Aug 2004,-0.038961,0.01938,-0.006065,0.001512,-0.013835,-0.025267,0.027705,0.008128,0.07325,-0.01075,0.032906,0.027534,0.05636,0.004371,-0.008379,0.01561,-0.027718,-0.112159,-0.017455,0.060273,-0.003962,-0.004577,-0.125102,0.058228,-0.064203,0.018422,0.017759,0.086744,-0.10325,0.051351,8e-04,-0.0159,0.0113,0.0011,-0.0154,0.002287
Sep 2004,0.012821,-0.098636,0.012778,0.048373,0.030192,0.012398,0.100308,-0.005644,-0.033053,0.106602,-0.01149,-0.063361,-0.030465,-0.029019,-0.257727,0.037369,0.004454,0.052543,0.03738,0.00379,0.010063,0.028788,-0.057774,-0.026678,-0.040646,0.003312,0.006204,0.07221,-0.035181,0.115076,0.0161,0.0289,0.0036,0.0011,0.0526,0.009364
